City,Label,Month,Year,Date,Day of Week,Area,SQKM,Count_000,Count_010,Count_015
Milove,jul_2020_04,7,2020,7/4/2020 8:22,5,0.007918878,60.96117808,15799,1361,355
Milove,jul_2021_30,7,2021,7/30/2021 8:09,4,0.002383953,18.46669051,13051,2123,936
Milove,may_2019_18,5,2019,5/18/2019 8:32,5,0.008651455,65.97024886,16010,1511,465
Milove,oct_2020_26,10,2020,10/26/2020 8:20,0,0.00511121,39.47174849,21073,1756,813
Mykolaiv,apr_2020_08,4,2020,4/8/2020 9:07,2,0.007869461,62.67419661,57163,7355,3610
Mykolaiv,apr_2020_12,4,2020,4/12/2020 9:19,6,0.038532975,307.9743005,135577,17074,7634
Mykolaiv,apr_2021_24,4,2021,4/24/2021 9:09,5,0.022762413,184.8035239,169836,38531,24641
Mykolaiv,aug_2019_19,8,2019,8/19/2019 9:13,0,0.006896894,55.57249834,36459,7126,2415
Mykolaiv,b_s1,2,2022,2/4/2022 8:51,4,0.043521781,344.4076582,279139,42111,14175
Mykolaiv,b_s2,11,2021,11/11/2021 8:54,3,0.035165753,282.8799083,872115,153382,49818
Mykolaiv,dec_2020_27,12,2020,12/27/2020 8:36,6,0.021936366,175.7489944,32251,4390,1614
Mykolaiv,feb_2021_05,2,2021,2/5/2021 9:00,4,0.042794972,338.8468856,161453,35705,17485
Mykolaiv,feb_2022_04,2,2022,2/4/2022 8:51,4,0.043521781,344.4076582,279139,42111,14175
Mykolaiv,feb_2022_27,2,2022,2/27/2022 8:57,6,0.011075123,85.85927436,171154,24125,5285
Mykolaiv,jan_2020_25,1,2020,1/25/2020 9:02,5,0.01414899,114.1425948,51892,5027,1646
Mykolaiv,jan_2020_30,1,2020,1/30/2020 9:09,3,0.003260034,26.84699733,70,4,0
Mykolaiv,jan_2021_17,1,2021,1/17/2021 9:01,6,0.019069724,156.5297085,25084,1046,362
Mykolaiv,jul_2019_07,7,2019,7/7/2019 9:30,6,0.014184913,113.7661589,35295,7509,3453
Mykolaiv,jul_2019_16,7,2019,7/16/2019 9:00,1,0.01442113,117.240835,314956,32884,7149
Mykolaiv,jun_2019_18,6,2019,6/18/2019 9:28,1,0.036592874,292.5781721,523091,78494,28855
